彩种名称,投注人数,投注金额,中奖金额,撤单金额,返点金额,盈利,盈率,source_file
1分快3,698,7994708.00,7649465.34,85262.00,10892.66,334350.00,4.18%,20200527.xls
极速快3,150,1817943.00,1788182.30,0.00,3426.23,26334.47,1.45%,20200527.xls
3分快3,117,279209.00,264210.09,4180.00,392.13,14606.78,5.23%,20200527.xls
龙虎斗,45,201525.00,196699.20,0.00,748.04,4077.76,2.02%,20200527.xls
5分快3,44,121834.00,117366.68,77.00,60.53,4406.80,3.62%,20200527.xls
传统1分赛车,15,83977.00,79449.58,3656.00,33.35,4494.07,5.35%,20200527.xls
骰宝,10,81745.00,68456.00,0.00,779.70,12509.30,15.30%,20200527.xls
传统1分彩,19,76025.00,75857.69,0.00,125.99,41.33,0.05%,20200527.xls
1分六合,29,55400.00,58311.08,4.00,12.89,-2923.97,-5.28%,20200527.xls
1分彩,38,53185.52,54269.48,5020.00,110.61,-1194.56,-2.25%,20200527.xls
万人龙虎,14,45910.00,47849.35,0.00,133.42,-2072.77,-4.51%,20200527.xls
疯狂飞艇,32,41763.02,41513.22,374.50,184.28,65.51,0.16%,20200527.xls
欢乐生肖,8,38111.84,42467.46,330.00,6.56,-4362.18,-11.45%,20200527.xls
1分11选5,19,35971.92,40811.56,257.14,26.01,-4865.65,-13.53%,20200527.xls
极速赛车,16,26893.98,25574.79,0.00,24.00,1295.19,4.82%,20200527.xls
1分赛车,27,26515.90,27506.91,32.52,1.42,-992.43,-3.74%,20200527.xls
百家乐,9,24300.00,22618.20,0.00,0.00,1681.80,6.92%,20200527.xls
腾讯1.5分彩,6,19317.12,20155.89,216.80,0.00,-838.77,-4.34%,20200527.xls
北京赛车,8,16512.52,17843.57,6.80,15.20,-1346.25,-8.15%,20200527.xls
腾讯时时彩,23,13826.40,11013.24,12.12,16.26,2796.90,20.23%,20200527.xls
六合秒秒,6,12920.00,14544.90,0.00,71.57,-1696.47,-13.13%,20200527.xls
3分赛车,11,12844.48,11869.20,452.40,81.63,893.65,6.96%,20200527.xls
传统欢乐生肖,4,12714.00,14136.15,0.00,76.07,-1498.22,-11.78%,20200527.xls
森林舞会,7,12560.00,12523.50,0.00,18.18,18.33,0.15%,20200527.xls
